,0
0,0.2674821248647171
1,0.319043229285198
2,0.7257148381710028
3,0.46600173393343236
4,0.6853509765537598
5,0.038072219020421794
6,0.6222280582013283
7,0.25125406386398663
8,0.4404928473981252
9,0.32018168560802684
10,0.004996646635253454
11,0.34218620423837454
12,0.2862183650352126
13,0.9990407115582521
14,0.4252303293433142
15,0.39658565039135607
16,0.2483248147446312
17,0.8522676051359064
18,0.23351416212514486
19,0.607341294847947
20,0.09120569598383788
21,0.03443065196320427
22,0.7353441343897699
23,0.39168173930189254
24,0.713039813007539
25,0.7018418771634648
26,0.5489668248526871
27,0.5926789873878318
28,0.2056699771434387
29,0.37659273480538513
30,0.7499879739639576
31,0.7459020794094947
32,0.42120105678820097
33,0.6432447695523986
34,0.035101679315807544
35,0.8929233625739119
36,0.4001838464655372
37,0.8541260076395635
38,0.005871277185640955
39,0.46455580823457976
40,0.032279532127961974
41,0.21633071878506072
42,0.5242652299538556
43,0.7117925886566739
44,0.11532862542553002
45,0.5411274537526809
46,0.13158490676623935
47,0.8198081502525271
48,0.2898657516017159
49,0.840243201132936
50,0.3593557644909683
51,0.06418660048940283
52,0.2869231897365355
53,0.43140001348053314
54,0.04520544844746266
55,0.3682192014871082
56,0.864434541509268
57,0.3245320210411333
58,0.12042747946516108
59,0.4048163197522351
60,0.15289639530242094
61,0.49552000890431425
62,0.7204663670886237
63,0.20017134249079094
64,0.5220496947395337
65,0.4930041997049859
66,0.4706606539188033
67,0.24907680335227433
68,0.8773982778349599
69,0.8368283124893791
70,0.35115771297108256
71,0.24229785798295322
72,0.9580294418180373
73,0.5935959979135196
74,0.9775113661575402
75,0.2736872346611793
76,0.7799549256517555
77,0.28413023644577784
78,0.27711082333345705
79,0.8453322606368365
80,0.49290675575913767
81,0.6903227296114007
82,0.16529107150414657
83,0.6006755657763426
84,0.5363822588396647
85,0.33298925088970743
86,0.031130474683867426
87,0.37573288783672054
88,0.6822553143412283
89,0.11175072093060534
90,0.16862247159475252
91,0.393568722958639
92,0.7596037599315381
93,0.7466024323263887
94,0.19746775358839286
95,0.36206012038881474
96,0.3923417247125107
97,0.9286516244082852
98,0.02955131906873598
99,0.32676150863160236
100,0.3889239686508049
101,0.2714824685049816
102,0.8031484168957086
103,0.37495757305550814
104,0.5664378112651011
105,0.9480887426328182
106,0.5481711449766637
107,0.9213177485444144
108,0.9905897569726961
109,0.9058617769605145
110,0.3753359073455851
111,0.9483786238876025
112,0.8741740892319577
113,0.8776265184225608
114,0.1459094304358145
115,0.2048803879733746
116,0.10767402070999044
117,0.7218521738402676
118,0.7243029281132874
119,0.6948631830300536
120,0.24473140366498725
121,0.7655364742338503
122,0.1988813563953553
123,0.11791685634284299
124,0.8063898244893868
125,0.38180924799186866
126,0.1751344657326852
127,0.04293386793241438
128,0.3274336271303011
129,0.559983709778328
130,0.028653157288329623
131,0.6334032648196063
132,0.6079694930490454
133,0.3730527149171369
134,0.41787324113889945
135,0.4648064869410834
136,0.19152856129227613
137,0.8515069930792851
138,0.5337446168719557
139,0.2265380354778539
140,0.49228063455318416
141,0.10200964389314682
142,0.8470231107748832
143,0.38484765692612444
144,0.755853711225485
145,0.36430657534029665
